strategy,vectors,queries,avg_embedding_ms,avg_faiss_search_ms,avg_total_latency_ms
fixed,3067,30,37.603965260980964,0.40217093386066455,38.00701106277605
sentence,2904,30,37.289068070822395,0.4628457614065459,37.75321676512249
semantic,6073,30,32.61990963558977,0.5633139633573592,33.184138934787676
topic,4380,30,46.895441568146154,0.5334889622948443,47.43040423102987
