strategy,indexed_chunks,precision_at_5,recall_at_5,mrr,avg_total_latency_ms,avg_context_tokens,avg_context_characters
fixed,3067,0.08666666666666667,0.23333333333333334,0.12444444444444444,38.00701106277605,1357.8,6324.566666666667
semantic,6073,0.04,0.13333333333333333,0.1111111111111111,33.184138934787676,572.7,2741.366666666667
sentence,2904,0.08000000000000002,0.26666666666666666,0.15833333333333333,37.75321676512249,1216.6333333333334,5819.366666666667
topic,4380,0.06666666666666667,0.2,0.17777777777777776,47.43040423102987,798.3666666666667,3822.633333333333
